NA	0	0.5	1	1.5	2	2.5	3	3.5	4	4.5	5
-25	29	36	43	51	59	65	73	79	86	93	99
-20	37	44	52	60	67	74	80	87	94	101	108
-15	46	53	61	68	75	81	89	96	102	109	116
-10	55	62	69	76	83	89	97	103	111	117	125
-5	63	70	77	84	91	98	104	112	119	126	133
0	71	78	85	92	99	106	113	121	128	134	140
5	79	86	93	99	107	114	121	129	136	141	148
10	87	94	101	108	115	122	130	137	143	149	156
15	96	102	109	116	124	131	138	144	150	157	164
20	103	111	117	125	132	138	145	151	159	166	172
25	112	119	126	133	139	146	152	160	166	174	181
