NA	0	0.5	1	1.5	2	2.5	3	3.5	4	4.5	5
-25	94	103	110	119	128	135	143	149	157	164	170
-20	104	112	120	129	136	143	150	159	165	171	179
-15	113	122	130	137	144	152	160	166	173	180	186
-10	123	130	138	145	153	160	167	173	180	187	194
-5	131	139	146	154	161	168	174	181	188	196	203
0	139	147	154	162	169	175	183	190	197	203	209
5	148	156	163	169	176	184	191	198	204	210	216
10	157	164	170	177	184	191	198	205	211	217	224
15	164	170	177	184	191	198	205	211	217	224	230
20	169	176	183	190	197	203	210	216	223	229	235
25	174	181	187	194	201	207	214	221	226	232	237
