NA	0	0.5	1	1.5	2	2.5	3	3.5	4	4.5	5
-25	31	41	52	64	76	87	97	107	117	125	133
-20	43	55	66	78	88	99	109	118	126	134	142
-15	57	68	80	90	101	110	119	127	136	143	150
-10	70	81	92	102	112	121	129	137	144	151	158
-5	83	94	104	113	122	130	137	145	152	159	166
0	96	105	115	124	132	139	146	154	160	168	176
5	107	117	125	133	140	148	155	162	169	177	184
10	118	126	134	142	149	156	163	170	178	186	193
15	127	135	143	149	156	163	171	179	187	194	201
20	135	143	150	156	164	171	179	187	194	201	208
25	141	149	155	163	170	178	185	192	199	207	213
