NA	0	0.5	1	1.5	2	2.5	3	3.5	4	4.5	5
0.75	233	240	248	254	261	268	275	281	285	289	292
0.8	223	231	241	247	252	260	266	272	278	283	286
0.85	216	222	232	239	245	251	258	264	270	275	280
0.9	211	217	225	232	237	243	250	257	263	267	273
0.95	206	212	220	226	231	237	243	250	256	261	266
1	200	207	214	222	227	232	237	244	251	255	259
1.05	192	202	209	217	223	228	233	238	245	251	255
1.1	185	194	204	212	219	224	229	234	240	247	251
1.15	179	188	197	206	214	220	225	230	236	242	247
1.2	172	182	191	201	208	215	221	226	232	238	243
1.25	165	177	185	195	204	210	216	222	228	234	239
